PC_tfidf1,PC_tfidf2,PC_tfidf3,PC_tfidf4,PC_tfidf5,PC_tfidf6,PC_tfidf7,PC_emb1,PC_emb2,PC_emb3,PC_emb4,PC_emb5,PC_emb6,PC_emb7
-0.05250012878102119,0.0851114852639184,0.13243315483789142,0.0641072452441555,0.008330566283085296,0.10688683405378528,-0.0024062204691629764,0.0063998247,0.0019940343,0.0018183761,-0.0007333424,0.0010800574,0.004219939,-0.00015843162
-0.07990524565423256,-0.008381764504793082,0.002302911066854494,0.03581234702110983,0.053639198568969745,0.04501637316952957,-0.011104162141262384,0.0036548332,0.003351947,0.001104142,0.004393329,0.0018557896,0.0034136346,0.0026899476
-0.10922357916493133,0.03708064747350423,0.022784779095866403,0.017961876395079575,0.02813109584472193,0.05808402252955844,-0.006701267238550409,-0.0004966918,0.0023034874,0.003976858,0.0027433718,-0.0021144298,0.0033338987,0.00018805
-0.05429912378431574,0.05840479004240667,0.1380372809624852,0.031836401234362335,-0.01628586352662112,0.12075902135646839,-0.004513414777071321,0.004366845,0.003904913,0.0033200989,0.0011685482,-0.00030244648,0.007127517,0.000990413
-0.06612080476900578,0.017722830554922735,0.06746789239635426,0.018768807900821423,-0.05989391069449841,0.1097360231234345,-0.0037104320978371824,0.0024531647,0.005109406,0.0022010242,0.0036076596,-0.0018723464,0.0035850632,0.00021037018
-0.06474513561295996,0.04516644983696965,0.07266537944099294,-0.027197174247071403,0.01820817076176735,-0.052222165716500124,-0.005730427107075702,0.0001889813,-0.0020265263,-0.00063108274,0.0003214316,0.0022881082,0.004710848,-0.0014764353
-0.11295546997902939,0.011574693339456994,0.03745706887252945,0.0592087532359879,0.11164491965090487,0.044446811389200744,-0.01230015907718129,0.002484581,-0.0007173534,-0.0019476659,0.0025713618,-0.0003498823,0.0042597437,-0.00028023584
-0.08314141762675387,0.0452147083755274,0.039470543139538856,0.03554921378279616,0.057560765375213326,0.04381430667633353,-0.007910221242680295,0.005053366,0.0007518015,0.0011502473,-0.0009767171,-0.00023952426,0.004671173,0.00034291143
-0.05791625049352011,0.07094945077359158,0.11310777791271837,-0.07557475337225979,-0.009908916739885285,0.06589137333573912,-0.0025503626491870865,0.004187531,0.0043323506,0.005194487,-0.0006168439,0.0009803495,0.0060255677,0.0013254175
-0.06241641796856623,0.046361240147654165,0.08379549684666682,-0.017292623481728,0.004762450821526244,0.10198484012755307,-0.006973439167780513,0.001914807,0.0040537724,0.0046821367,0.0012912169,-0.0020853588,0.0049399794,-0.00028796322